fecha_de_corte,confirmados,sospechosos,negativos,recuperados,portadores,defunciones
26/01/2020,0,0,7,0,0,0
27/01/2020,0,0,7,0,0,0
28/01/2020,0,2,7,0,0,0
29/01/2020,0,0,9,0,0,0
30/01/2020,0,0,9,0,0,0
31/01/2020,0,0,9,0,0,0
01/02/2020,0,0,9,0,0,0
02/02/2020,0,1,9,0,0,0
03/02/2020,0,0,10,0,0,0
04/02/2020,0,0,10,0,0,0
05/02/2020,0,0,10,0,0,0
06/02/2020,0,0,10,0,0,0
07/02/2020,0,0,10,0,0,0
08/02/2020,0,0,10,0,0,0
09/02/2020,0,1,10,0,0,0
10/02/2020,0,0,11,0,0,0
11/02/2020,0,3,11,0,0,0
12/02/2020,0,2,13,0,0,0
13/02/2020,0,1,15,0,0,0
14/02/2020,0,1,15,0,0,0
15/02/2020,0,0,16,0,0,0
16/02/2020,0,0,16,0,0,0
17/02/2020,0,0,16,0,0,0
18/02/2020,0,0,16,0,0,0
19/02/2020,0,2,16,0,0,0
20/02/2020,0,0,18,0,0,0
21/02/2020,0,0,18,0,0,0
22/02/2020,0,0,18,0,0,0
23/02/2020,0,0,18,0,0,0
24/02/2020,0,0,18,0,0,0
25/02/2020,0,0,18,0,0,0
26/02/2020,0,0,18,0,0,0
27/02/2020,0,1,22,0,0,0
28/02/2020,3,3,37,0,0,0
29/02/2020,4,8,46,0,0,0
01/03/2020,5,11,60,0,0,0
02/03/2020,5,21,69,0,0,0
03/03/2020,5,39,75,0,0,0
04/03/2020,5,26,112,0,0,0
05/03/2020,5,35,143,0,0,0
06/03/2020,6,36,163,0,0,0
07/03/2020,7,30,186,0,0,0
08/03/2020,7,24,201,0,0,0
09/03/2020,7,12,218,0,0,0
10/03/2020,7,37,234,0,0,0
11/03/2020,11,49,264,1,2,0
12/03/2020,15,82,298,1,2,0
13/03/2020,26,105,344,1,2,0
14/03/2020,41,155,404,2,2,0
15/03/2020,53,176,482,3,2,0
16/03/2020,82,171,579,3,2,0
17/03/2020,93,206,672,3,4,0
18/03/2020,118,314,787,3,4,0
19/03/2020,164,448,921,3,6,0
20/03/2020,203,606,1111,3,6,2
21/03/2020,251,697,1463,3,6,2
22/03/2020,316,793,1667,3,6,2
23/03/2020,367,826,1865,3,6,4
24/03/2020,405,1219,2161,3,6,5
25/03/2020,475,1656,2445,3,6,6
26/03/2020,585,2156,2965,3,6,8
